DESC,BED,BATH,PRICE,LOCATION
Fully Airconditioned 3bedroom Apartment In East Legon For Rent,3,3,"4320","Accra, Apartments"
4bedroom House In East Legon Hills For Rent,4,4,"1600","Accra, Houses"
Fully Furnished 2bedrooms Apartment In Airport Residential For Rent,2,2,"18900","Accra, Apartments"
Three Bedroom House In East Legon Hills For Rent,3,3,"1600","Accra, Houses"
A Huge Mansion For Rent 5bedrooms Devtraco Spintex,5,7,"Accra, Houses"
4bedrooms self compound for rent at Achimota,4,4,"55000","Accra, Houses"
executive 3 bedroom apartment for rent at teshie aboma,3,2,"Accra, Apartments"
newly buit Chamberself contain for rent at bortianor,1,1,450,"Accra, Apartments"
Two Bedroom House In East Legon Hills For Rent,2,2,"1200","Accra, Houses"
East Legon Hills Santor 2bed house rent,2,2,700,"Accra, Houses"
5bedroom house for rent East Legon,5,5,"15000","Accra, Houses"
Great Rich 4bedroom house rent @East Legon,4,5,"15000","Accra, Houses"
Chamber and hall self Con for rent Lakeside,1,1,500,"Accra, Apartments"
"For rent,5bdrms hse@Adjringanor",5,6,"22000","Accra, Houses"
Newly Built 2 Bedrooms Apartment At Botwe School Junction For Rent,2,2,"1600","Accra, Apartments"
Newly Built 2 Bedrooms Apartment At Lakeside For Rent,2,2,"1000","Accra, Apartments"
newly buit Chamberself contain for rent at tetegu,1,1,600,"Accra, Apartments"
Chamber And Hall Self Contain At East Legon For Rent,1,1,"2000","Accra, Apartments"
3bedroom Apartment Around Kings Cottage For Rent,3,3,"1500","Accra, Apartments"
Chamber and hall at Santasi Star for rent,1,1,417,"Kumasi, Apartments"
2 bed apt for rent@broadcasting junction new weija,2,2,"Accra, Apartments"
Single Room For Rent At Madina 1 Year Advance,,"Accra, Rooms"
3 Bedroom House for rent@ Bolgatanga,3,2,"Upper East, Houses"
Special 3bedroom apartment rent @Cantonment,3,4,"16490","Accra, Apartments"
Executive 3 bedrooms apartment for rent at Adjiringanor Ability square,3,3,"2500","Accra, Apartments"
Cantonment 2bedroom pay 6month rent,2,3,"10400","Accra, Apartments"
4 bedroom house for rent at East legon,4,5,"Accra, Houses"
Executive 2 bedrooms apartment with 3 wash for rent at school junction,2,3,"1500","Accra, Apartments"
Exe C/H self contain for rent at Pokuase Fise,1,1,"Accra, Apartments"
1 room apartment for rent at Pokuase Fise,1,1,"Accra, Apartments"
Executive 4 bedroom house for rent at Pokuasi Fise,4,2,"Accra, Houses"
2 bed room apartment for rent at dansoman,2,3,"1400","Accra, Apartments"
Executive 2 bedroom house for rent at Pokuase Fise,2,2,"Accra, Houses"
4 bedroom house for rent at East Legon America,4,5,"8000","Accra, Houses"
3 bed apartment for rent at tetegu junction,3,2,"1100","Accra, Apartments"
Gated Chamber&hall Self Cont.for Rent Spintex,1,1,430,"Accra, Apartments"
New And Hottest 3bedroom Apartment Up For Rent Spintex 1yr,3,3,"2000","Accra, Apartments"
2 Bedrooms Apartment For Rent At Darkuman Estates,2,1,"1000","Accra, Apartments"
Chamber And Hall Self Contain In Botwe Little Roses For Rent,1,1,500,"Accra, Apartments"
2bedroom House In Adjiringanor NTHC Estate For Rent,2,2,"1600","Accra, Houses"
4 bed self compound for rent at adenta frafraha,4,4,"2000","Accra, Houses"
Newly Built 2bedroom House At Adjiringanor Coco Vanilla For Rent,2,2,"2500","Accra, Houses"
2bedrooms House For Rent In Oyibi,2,2,"1200","Accra, Houses"
5 Bedrooms Self Compound Is For Rent@Sakaman,5,6,"4000","Accra, Houses"
2 Bedroom Self Compound house For Rent@Awoshie NIC Area,2,3,"1200","Accra, Houses"
Chamber and hall self contain for rent@East legon hills,1,1,500,"Accra, Apartments"
2 bedrm self compound for rent at east legon,2,3,"4900","Accra, Houses"
3 bedroom self compound for rent at east legon,3,3,"7578","Accra, Houses"
Luxury 5 bedrooms self compound for rent at galaxy sch. Area,5,6,"5481","Accra, Houses"
2 bedroom fully furnished for rent at east legon around American house,2,2,"10000","Accra, Apartments"
2bedroom apartment for rent at east legon around American house,2,2,"3100","Accra, Apartments"
EXECUTIVE THREE BEDROOMS AT EAST LEGON FOR RENT,3,3,"Accra, Apartments"
4 bedroom square house for rent at Pokuase,4,4,"1700","Accra, Houses"
Chamber and hall self contain for rent at kaneshie,1,1,500,"Accra, Apartments"
TWO bedroom apartment for Rent Michel Camp,2,2,"Greater Accra, Apartments"
Executive 3 bedroom self contain Apartment for rent@East legon hills,3,3,"2000","Accra, Apartments"
Chamberself contain for rent at tesano,1,1,600,"Accra, Apartments"
"For rent,3 bedroom house @Botwe Lakeside",3,4,"3500","Accra, Houses"
Luxury 4bedrooms House In East Legon Hills For Rent,4,4,"3500","Accra, Houses"
5bedroom House With Boys Quatas In East Legon For Rent,5,5,"9180","Accra, Houses"
Executive chamber & hall self con 4 rent@lakeside estate,1,1,500,"Accra, Apartments"
3bedroom House With Boys Quatas In Adjiringanor For Rent,3,3,"3000","Accra, Houses"
Executive Chamber & hall self contain 4 rent East legon hills,1,1,500,"Accra, Apartments"
Luxury 2 Bedrooms Apartment In Sakumono For Rent,2,3,"1600","Accra, Apartments"
Executive Chamber and Hall Apartment For Rent at Haatso Ecomog,1,1,"Accra, Apartments"
"For rent,3bdrooms apartment in Spintex",3,4,"2000","Accra, Apartments"
6 bedrooms storey building house for rent at Pokuase,6,6,"4500","Accra, Houses"
Newly Built Chamber And Hall Self Contain In Haatso For Rent,1,1,700,"Accra, Apartments"
2 Bedroom apartment for rent East Legon Jayon,2,2,"1500","Accra, Apartments"
EXECUTIVE CHAMBER AND HALL AT HAATSO FOR RENT,1,1,"Accra, Apartments"
3 Bedroom house for rent East Legon,3,4,"8500","Accra, Houses"
4 BEDROOM HOUSE FOR RENT AT ATOMIC DOWN,4,4,"2500","Accra, Houses"
5bedrooms house for Rent at Pokuase Amanfrom,5,5,"1500","Accra, Houses"
3bedrooms For Rent at Pokuase,3,2,"1500","Accra, Houses"
An executive 2 bed room apartment for rent at sakaman,2,3,"1200","Accra, Apartments"
3bedrooms House For Rent at Pokuase S.D.A,3,3,"1200","Accra, Houses"
3bedrooms House For Rent at Pokuase Odumase,3,3,"13000","Accra, Houses"
3bedrooms Swiming pool house at Kutoku for Rent,3,3,"3000","Accra, Houses"
3 Bedroom Apartment for Rent@East Legon Hills,3,4,"1650","Accra, Apartments"
2 bedroom fully furnished 4 rent at lakesidse,2,2,"14000","Accra, Apartments"
FURNISHED SINGLE ROOM APT. @ ACHIMOTA 4 RENT,1,1,800,"Accra, Apartments"
FURNISHED 5 BEDROOM HOUSE @ ADJIRIGANOR 4 RENT,5,5,"10260","Accra, Houses"
EXEC. 5 BEDROOM HOUSE @ SPINTEX 4 RENT,5,5,"5700","Accra, Houses"
Spontenous modern wal n gated 3bedrm 2washrm for Rent Spintex,3,2,"1300","Accra, Houses"
two bedroom self contain for rent East legon,2,2,700,"Accra, Apartments"
For Rent 5 bed house in sptx regumanuel,5,5,"11000","Accra, Houses"
For rent 4 bedrm house with boys quarter@spintex,4,5,"4000","Accra, Houses"
Chamber And Hall Apartment For Rent At Weija,2,1,600,"Accra, Apartments"
Weija Tetegu 5 Bedrooms For Rent,5,3,"1700","Accra, Apartments"
2 Bedrooms Apartment For Rent Darkuman Estate,2,1,"1000","Accra, Apartments"
6month rent pool 2bed@ Trassacco East Legon,2,3,"3420","Accra, Apartments"
A big shop at Tafo 4 Miles for rent.,10 m²,500,"Kumasi, Commercial Property"
4 bedroom house for rent at Abelemkpe,4,4,"16000","Accra, Houses"
4 Bedroom House For Rent At North Legon,4,4,"8550","Accra, Houses"
ch/hall sc for rent@Tuba estate junction,1,1,"Accra, Apartments"
3 bedroom apartment for rent at East Legon Hills,3,4,"2000","Accra, Apartments"
A chamber and hall self contain for rent Kasoa,1,1,"Central, Apartments"
"for rent,4 bdrms house in Spintex",4,5,"8000","Accra, Houses"
Executive 4 bed self compound rent Ashaley Botwe,4,3,"1400","Accra, Houses"
Executive 2 bedroom self compound 4 rent East legon,2,2,"2000","Accra, Houses"
"For rent, 4 bedroom house @Trasacco",4,5,"5300","Accra, Houses"
Chamber&hall S/C in North legon 4 rent Washington,1,1,"Accra, Apartments"
gated 2bedrm for rent in spintex,2,1,"1000","Accra, Apartments"
A 3 bedroom apartment for rent Kasoa,3,2,"Central, Apartments"
CHAMBER AND HALL FOR RENT @ MADINA YELLOW SIGNBOARD,1,1,"Accra, Apartments"
CHAMBER AND HALL APARTMENT FOR RENT @ MADINA MAYE HOT,1,1,"Accra, Apartments"
5 Bdrms For Rent At East Legon A&C Mall,5,6,"Accra, Houses"
4 Bedroom House east legon Hills for Rent,4,4,"3500","Accra, Houses"
A neat chamber and hall self contained for rent at paraku estate,1,1,"Kumasi, Apartments"
For rent 4 bedrms house East Legon,4,4,"17200","Accra, Houses"
"For rent, 3 bedroom apartment @Osu Accra",3,4,"7950","Accra, Apartments"
"For rent,fully furnished apartment @Spintex",1,2,"6400","Accra, Apartments"
"For rent,6 bedroom house @Dzorwulu",6,7,"22000","Accra, Houses"
"2 Bedroom House for rent in Kumasi, Lake road",2,1,"Kumasi, Houses"
Spacious 2-bedroom apartment for rent,2,2,"Accra, Apartments"
EXECUTIVE CHAMBER AND HALL AT EAST LEGON FOR RENT,1,1,"Accra, Apartments"
chamber n hall for rent at agya appiah,1,1,"Accra, Apartments"
Single Room S/C Apartment for Rent at West Legon.,1,1,"Accra, Apartments"
3 bedrooms with 2 washroom's for rent at Appiadu,3,2,"Kumasi, Houses"
EXECUTIVE TWO BEDROOMS AT SPINTEX FOR RENT,2,2,"Accra, Apartments"
EXECUTIVE TWO BEDROOMS AT EAST LEGON FOR RENT,2,2,"Accra, Apartments"
12 Bedroom House for Rent at Kanda.,"10+, 10+","Accra, Houses"
3 bedroom flat to Rent Awutu Senya,3,1,"Central, Houses"
Exec 4 bedroom hse for rent at east legon,5,5,"Accra, Houses"
3 bedroom house at east legon hills for rent,3,2,"Accra, Houses"
Achimota mall 3bed self compound rent,3,4,"4800","Accra, Houses"
Single room S/C in Dome 4 rent,1,1,"Accra, Apartments"
Exclusive Office Shop For Rent - Madina,70/70 m²,"Accra, Commercial Property"
one master apt for rent at st peters,1,1,"Sekondi Takoradi, Apartments"
EXECUTIVE NEAT 2BEDROOM 2WASHROOM S/C FOR RENT@LASHIBI,2,1,"Accra, Apartments"
TWO BEDROOMS APRTMENT FOR RENT @ MADINA SOCIAL WELFARE DOWN,1,1,"Accra, Apartments"
2 BEDROOM ENSUITE@ SPINTEX FOR RENT,2,2,"Accra, Apartments"
FURNISHED 1 BEDROOM N HALL S/C SPINTEX FOR RENT,1,1,"Accra, Apartments"
CHAMBER AND HALL WITH PORCH FOR RENT AT DOBRO,,"Accra, Rooms"
Executive 2 Bedroom House For Rent At Tse Addo,2,1,"2700","Accra, Houses"
for rent 4 bdrms hse @East Legon,4,5,"17200","Accra, Houses"
"Hall, bathroom and bedroom for rent",2,2,"Accra, Apartments"
Two Bedroom Apartenmt For Rent At Dome Pillra2,2,2,600,"Accra, Apartments"
Executive 5 Bedroom House For Rent At Spintex,5,5,"6500","Accra, Houses"
4 Bedroom House for Rent at East Legon,4,5,"19181","Accra, Houses"
Executive Chamber and Hall For Rent At Ablekuman,1,1,500,"Accra, Apartments"
Executive 3 Bedroom Apartment For Rent At Golf City,3,2,"1700","Accra, Apartments"
2Bedrooms For rent at dome Pillar2,2,3,"Accra, Apartments"
Chamber and hall self contained for rent at Sowutuom,1,1,450,"Accra, Apartments"
3 BEDROOM@ACHIMOTA-TANTRA HILLS FOR RENT,3,2,"Accra, Apartments"
2 bedrooms apartment for rent at Race course 1yr,2,1,700,"Accra, Apartments"
CONTAINER FOR RENT@NUNGUA,500 sqft,"Accra, Commercial Property"
1 BEDROOM N HALL FOR RENT@SPINTEX,,"Accra, Rooms"
Two bedroom self contain for rent at botwe St Peters,2,1,900,"Accra, Apartments"
Executive 2 bed self contain for rent East legon Agirigano,2,1,"1500","Accra, Apartments"
Executive 2 bedroom self Con 4 rent east legon,2,2,"3000","Accra, Apartments"
Fully Furnished And Unfurnished Apartments For Rent At East Airport,1,1,"Accra, Apartments"
For Rent 5 bedrooms house in spintex,5,7,"3200","Accra, Houses"
2 Bedroom apartment for rent@Domi pillar,2,2,"1500","Accra, Apartments"
For Rent 3 bedrooms apartment in spintex,3,3,"2200","Accra, Apartments"
Wonderful 2bedroom Apartment Up For Rent At Lashibi 1year,2,2,900,"Accra, Apartments"
Freshly Built Chamber&hall Self Contained For Rent Spintex,1,1,450,"Accra, Apartments"
Chamber self contain for rent at Awoshie-palastown,1,1,350,"Accra, Apartments"
TILED SINGLE RM PLUS WASHROM APARTMENT FOR RENT @ OGBOJO FILLING,1,1,"Accra, Apartments"
Executive Chamber and Hall self contain for rent at Achimita kisby,1,1,"Accra, Apartments"
single self contained for rent at Awoshie anyaa sc junction,1,1,250,"Accra, Apartments"
FURNISHED APARTMENT@ SPINTEX FOR RENT,1,1,"Accra, Apartments"
execultive 2 bedroom apartment for rent at spintex,2,1,"Accra, Apartments"
Fully Furnished Executive House for Rent at Ahanta,8,9,"Western, Houses"
full furnished 3bedroom rent@West Legon,3,4,"5400","Accra, Apartments"
single room self contain for rent at nungua,1,1,"Accra, Apartments"
Cantonment Furnished 2bedroom rent,2,2,"11500","Accra, Apartments"
furnished 2bed monthly rent @Cantonment,2,2,"11500","Accra, Apartments"
Luxury 3 bedrooms apartment for rent at American house,3,3,"4300","Accra, Apartments"
4 Bedrooms self compound for rent st Adenta,4,3,"Accra, Houses"
one bedroom apartment for rent at kasoa broadcasting,1,1,"Accra, Apartments"
4bedroom house for rent @Airport,4,5,"18100","Accra, Houses"
executive 2 bedrooms apartment for rent at West trassacco,2,2,"1200","Accra, Apartments"
executive 2 bedrooms apartment for rent at lakeside,2,2,"1200","Accra, Apartments"
3 bedrooms apartment for rent at lakeside,3,2,"1200","Accra, Apartments"
Hair salon at Mile 7 for rent,10x10 m²,"Accra, Commercial Property"
Shop for rent at Adjiriganor,992 m²,"Accra, Commercial Property"
pool 4bed new self house rent@ Airport,4,5,"20000","Accra, Houses"
Barbers shop at Mile 7 for rent,4x9 m²,"Accra, Commercial Property"
Luxurious 2 bedrooms fully furnished Apartment for rent at Adjiriganor,2,2,"8538","Accra, Apartments"
2bed self contain apartment rent @School junction,2,2,"1200","Accra, Apartments"
1 BEDROOM FURNISHED APARTMENT FOR RENT AT EAST LEGON,1,1,"1500","Accra, Apartments"
NEWLY FURNISHED 4 BEDROOM HOUSE FOR RENT AT ABURI - AYI MENSAH .,4,4,"13500","Accra, Houses"
"1yr, SINGLE ROOM SELF CONTAIN FOR RENT @ MADINA RITZ HOTEL",1,1,"Accra, Apartments"
Chamber and Hall self contained for rent at Adenta Sakora,1,1,450,"Accra, Apartments"
Chamber and Hall self contained apartments for rent at Agbogba,1,1,650,"Accra, Apartments"
4 Bedrooms self compound rent at Dome,4,4,"Accra, Houses"
Luxurious Chamber&hall Apartment 1yr For Rent Spintex,1,2,850,"Accra, Apartments"
Singleroom Apartment For Rent Spintex,1,1,500,"Accra, Apartments"
"For rent, fully furnished 4Bed house at Kasoa road, Western Mall",4,5,"7500","Accra, Houses"
SHOP FOR RENT @ MADINA AVIATION,10x10 sqft,"Accra, Commercial Property"
Big single room with porch for rent at Amasaman,,"Accra, Rooms"
Normal C/H for rent at Pokuase,1,1,"Accra, Apartments"
Chamber and Hall S/C 4 rent at pokuase fise,1,1,"Accra, Apartments"
2 bedroom house for rent at Ashaley Botwe,2,1,"Accra, Houses"
"Luxury 2 bedrooms for rent at Adjiringanor, east legon",2,2,"8222","Accra, Short Term Rentals"
spacious single room self contain for rent at teshie lekma,1,1,"Accra, Apartments"
3 bedrooms self compound for rent at West trassacco,3,3,"3000","Accra, Houses"
Magnificent wal n gated single room selfcontain for Rent Spintex,1,1,300,"Accra, Apartments"
Four bedrooms house for rent at anaji phastor,4,3,"Sekondi Takoradi, Houses"
House for rent Santasi newsite,4,3,"1500","Kumasi, Houses"
5 bedroom house for rent at Adjiriganor,5,6,"7200","Accra, Houses"
2 bedroom Apartment for Rent East Legon,2,3,"3975","Accra, Apartments"
4 bedroom house for rent in East Legon,4,3,"13200","Accra, Houses"
Executive 4 Bedroom House For Rent At East Legon Hills,4,5,"2800","Accra, Houses"
Executive 4 Bedroom House For Rent At North Legon,4,5,"8100","Accra, Houses"
Single room self contained at Atimatim-Taabuo for rent,1,1,150,"Kumasi, Apartments"
3 bedroom apartment for rent at Cantonments,3,3,"13000","Accra, Apartments"
Chamber&hall S/C haasto 4 rent,1,1,"Accra, Apartments"
4 bedroom house for rent at Achimota SHS,4,4,"6900","Accra, Houses"
SINGLE ROOM FOR RENT @ MADINA NEW MARKET,,"Accra, Rooms"
Fablous wall n gated single room selfcontain for rent in Spintex,1,1,250,"Accra, Apartments"
3 bedroom self compound for rent at Adgiringanor,3,4,"5200","Accra, Houses"
one master room for rent @ I adu,1,1,"Sekondi Takoradi, Apartments"
3 bedrooms apartment for rent at Sowutuom,3,2,900,"Accra, Apartments"
5 bedrooms house for rent at Santa Maria,5,3,"1600","Accra, Houses"
"Newly built chamber and hall for rent at east legon, Dell hospital",1,1,"2146","Accra, Apartments"
2 Bedroom SSNIT flat for rent at Community 3 site B,2,1,"Greater Accra, Apartments"
Executive 4 bedrooms with 2 boys quarters for rent Spintex,4,4,"2500","Accra, Houses"
4 Bedrooms For Rent Adjiriganor,4,4,"3000","Accra, Houses"
2 bedroom house for rent at Spintex,2,1,"1000","Accra, Houses"
Newly built 4 bedrooms self compound for rent at Adjiriganor NTHC,4,3,"8047","Accra, Houses"
Exec. 2 bedrooms apartment for rent at east legon,2,2,"2500","Accra, Apartments"
3 Bedroom House For rent at Ashaley Botwe,3,4,"Accra, Houses"
4 Bedroom Furnished Apartment for Rent American House,4,5,"7693","Accra, Apartments"
New 3bed self compound rent @Pokuase,3,3,"1500","Accra, Houses"
4bed House/Swimming pool for rent at east legon hills,4,4,"Accra, Houses"
TWO BEDROOMS APARTMENT FOR RENT @ MADINA SOCIAL WELFARE DOWN,2,1,"Accra, Apartments"
Three Bedroom Self-contained Apartment For Rent At East Legon,3,2,"Accra, Apartments"
EXEC. TWO 2-BEDROOM APT @ HAATSO FOR RENT,2,2,"1800","Accra, Houses"
New 3 house is available for rent at east legon hills (2 years),3,2,"1800","Accra, Houses"
4 bedrooms with pool for rent at east legon hills,4,5,"5400","Accra, Houses"
Executive newly built single room self contain for rent at Oyarifa-Focus,1,1,"Accra, Apartments"
Executive 3 Bedroom House For Rent At Sakumono,3,3,"2800","Accra, Houses"
Executive 2 Bedroom House For Rent At East Airport,2,2,"3500","Accra, Houses"
Two bedrooms apartment for rent at Dansoman keep fitt,2,2,"1300","Accra, Apartments"
Executive 5 Bedroom House For Rent At Cantonment,5,5,"40000","Accra, Houses"
Single room self-contained for rent at Achimota CFC Estate,1,1,"Accra, Apartments"
Executive 4 Bedroom House For Rent At Sakumono,4,4,"12500","Accra, Houses"
Two Bed Room Apartment At Kasoa For Rent,2,2,"Central, Apartments"
Executive 5 Bedroom House For Rent At East Legon,5,5,"5500","Accra, Houses"
Executive 2 Bedroom Apartment For Rent At Tema,2,1,"1700","Accra, Apartments"
Executive 4 Bedroom House For Rent At Ashongman Estate,4,4,"2700","Accra, Houses"
Executive 2 bedrooms with 3 washrooms for rent at Adjiringanor,2,3,"1800","Accra, Apartments"
Executive 5 Bedroom House For Rent At East Legon,5,5,"8000","Accra, Houses"
Extremly Spacious And Gated Chamber&hall Self Contained For Rent Spintex,1,1,650,"Accra, Apartments"
Gorgeous Walled&gated 2bedroom Apartment For Rent Spintex 1year,2,1,650,"Accra, Apartments"
Stunning 1bedroom Apartment For Rent Spintex 1year,1,1,350,"Accra, Apartments"
A newly built 2 bedrooms apartment going for rent at Tseado,2,2,"Accra, Apartments"
This newly built 2 bedrooms apartment is going for rent,2,3,"Accra, Apartments"
Furnished 2 bedroom self con for rent Eaat legon,2,2,"5000","Accra, Apartments"
Furnished 2 bedroom self contain for rent Dzorwulu,2,1,"4600","Accra, Apartments"
Fully furnished 2 bedrm self contain 4 rent,2,1,"4700","Accra, Apartments"
Mesmerizing wal and gated single room selfcontain for rent spintex,1,1,500,"Accra, Apartments"
chamber and hall self contained for rent Tema,1,1,"Accra, Apartments"
2 Bedrooms apartment for rent at WEIJA,2,3,"Accra, Apartments"
2 Bedrooms Apartment for rent at Haasto Ecomong,2,3,"Accra, Apartments"
2 bed for rent@kasoa ofaakor,2,1,"Accra, Apartments"
Chamber and hall self contained at Apatrapa for rent,1,1,300,"Kumasi, Apartments"
Executive 4 Bedroom House For Rent At Adenta,4,4,"2500","Accra, Houses"
Chamber And Hall Self-contained Apartment For Rent At Madina,2,1,"Accra, Apartments"
Chamber And Hall Self-contained For Rent At Madina,2,1,"Accra, Apartments"
A nice 2 bedroom apartments for rent at Agbogba,2,2,"1200","Accra, Apartments"
Chamber and Hall self contained apartments for rent at Agbogba,1,1,700,"Accra, Apartments"
2 bed S/C in Taifa 4 rent,2,1,"Accra, Apartments"
"2 Bedroom house for rent, Community 22",2,1,"Greater Accra, Houses"
EXEC. FURNISHED 3 BEDROOM APT @ SPINTEX 4 RENT,3,3,"11400","Accra, Apartments"
New 2 bedroom apartment at Atomic Down for rent,2,2,"1200","Accra, Apartments"
4 bed S/C in Westland rent,4,4,"Accra, Apartments"
Two bed room flat at Pankrono Estate for rent,2,1,500,"Kumasi, Apartments"
3 bedrooms flat for rent at sokoban wood-villiage,3,2,600,"Kumasi, Houses"
2 bedrooms house at Lakeside for rent,2,2,"1000","Accra, Houses"
3 bedrooms apartment for rent at Mallam,3,3,"1200","Accra, Apartments"
Executive 3 Bedroom Apt For Rent - Adentan Barrier,3,4,"Accra, Apartments"
Three bed room flat at Santasi-Anyinam(kumasi) for rent,3,3,"1000","Kumasi, Apartments"
Self contain for Rent @ Gallalia (iron city),2,1,"Accra, Apartments"
3 bed self comp in west legon 4 rent,3,3,"Accra, Houses"
Alluring 2bedroom Apartment For Rent At Spintex 18months,2,1,"1000","Accra, Apartments"
3 Bedroom East Legon House in Adenta to rent,3,2,"Accra, Houses"
Executive house for rent in santasi,8,8,"7000","Kumasi, Houses"
Fantastic wall and gated 3bedrm wit 3washrm for rent in Spintex,3,3,800,"Accra, Apartments"
2 bedrooms house for rent at Gbawe Zero,2,2,750,"Accra, Houses"
Shops For Rent Pokuase,14x14 sqft,"Accra, Commercial Property"
Four Bedroom House for rent at Lapaz Racecourse,4,2,"Accra, Houses"
Chamber and Hall self-contained for rent at Lapaz Racecourse,1,1,"Accra, Apartments"
executive 2 bed room self contain for rent at teshie Malik,2,1,"Accra, Apartments"
Chamber and hall at Kentinkrono-Nsenie for rent,1,1,250,"Kumasi, Apartments"
Four Bedroom House For Rent A&C Mall East Legon,4,5,"9000","Accra, Houses"
1 Chamber and Hall Apt# for Rent-East Legon,1,1,"1550","Accra, Apartments"
4 bedroom house with 1 boys quarters for rent at Dome Pillar 2,5,5,"4400","Accra, Houses"
Executive Four Bedroom House For Rent At East Legon American,4,5,"Accra, Houses"
3 bed apt for rent@scc dvla new weija,3,2,"Accra, Apartments"
Two bedrooms for rent at anaji,2,2,"Sekondi Takoradi, Apartments"
one master full finished for rent at anaji,1,1,"Sekondi Takoradi, Apartments"
2Bedroom house for rent at Kuntunse,2,1,"Accra, Houses"
Chamber and hall at Santasi-Anyinam for rent,1,1,300,"Kumasi, Apartments"
Appartment for rent Techiman,1,1,"Brong-Ahafo, Apartments"
Very Beautiful new 2bed rent @Pokuase,2,3,"1200","Accra, Apartments"
OFFICE SPACE FOR RENT AT TANOKROM,40*40 m²,"Sekondi Takoradi, Commercial Property"
luxurious 3 bedroom house for rent at lakeside community #5,3,3,"2000","Accra, Houses"
for rent 330sqm warehouse @Spintex Manet,330 sqft,"11000","Accra, Commercial Property"
3 bedrooms Apartment for rent at Agbogba,3,3,"1300","Accra, Apartments"
Chamber & hall self con for rent East legon,1,1,250,"Accra, Apartments"
Beautiful 6 Bedroom House for Rent at Botwe (also good office),6,6,"Accra, Houses"
Two Bedroom Apartenmt for Rent at Dome Pillar2,2,2,800,"Accra, Apartments"
Two Bedroom Apartenmt for Rent at Dome Pillar2,2,2,"1500","Accra, Apartments"
4 bedroom apartment for rent East Legon,4,5,"4000","Accra, Apartments"
4 bedroom house for rent East Legon,4,5,"16000","Accra, Houses"
6 bedroom house for rent-East Legon,6,6,"9000","Accra, Houses"
8bed Hse With 2bed BQ For Rent Adenta,"8, 10+","Accra, Houses"
Executive cham &hall self contain 4 rent UPSA,1,1,800,"Accra, Apartments"
Executive 4 bedroom self contain rent-East legon,4,2,"1800","Accra, Apartments"
4bed Hse @ East Legon For Rent,4,5,"Accra, Houses"
apartments for rent Madina,1,1,"Accra, Apartments"
executive 5Bedroom house at airport hills for rent,5,6,"Accra, Houses"
3bedroom Apartment for rent at gyenyaase,3,2,800,"Kumasi, Apartments"
5 bedroom house for rent East Legon,5,6,"11000","Accra, Houses"
Rent this 4bedroom house@Spintex community 18 estate,4,5,"4000","Accra, Houses"
Chamber & hall self contain 4 rent-East legon,1,1,450,"Accra, Apartments"
Freshly Built 2bedroom Apartment With 3washrooms For Rent Spintex 1year,2,3,"1200","Accra, Apartments"
New And Modern 2bedroom Apartment For Rent Spintex 1year,2,2,"1300","Accra, Apartments"
Hot Chamber&hall Apartment With 2washrooms For Rent Spintex 1year,1,2,700,"Accra, Apartments"
Executive 3bedroom House For Rent At Spintex 1year,3,2,"1500","Accra, Houses"
Decent Singleroom Self Contained Up For Rent Spintex,1,1,350,"Accra, Apartments"
Spicy Chamber And Hall Apartment For Rent Spintex,1,1,550,"Accra, Apartments"
3bedrom self compound for rent at spintex,3,3,"Accra, Houses"
3bedrom self compound for rent at Spintex around Baasona total,3,3,"Accra, Houses"
3bedroom self compound for rent spintex,3,2,"Accra, Houses"
3bedrom self compound for rent at spintex,3,2,"Accra, Houses"
Executive Two Bedroom Apartments for Rent At Lapaz Racecourse,2,1,"Accra, Apartments"
4 Bedroom house for rent East Legon,4,5,"5700","Accra, Houses"
4 bedroom house for rent at East Legon,4,5,"9700","Accra, Houses"
4 bedroom house for rent at East Legon,4,5,"14000","Accra, Houses"
4 bedroom house + Swimming pool for rent at East Legon Adjiriganor,4,5,"15000","Accra, Houses"
3 bedroom Apartment for rent at East Legon,3,4,"8000","Accra, Apartments"
single room s/c for rent at adenta,1,1,"Accra, Apartments"
4 bedroom house for rent East Legon,4,5,"11000","Accra, Houses"
5 bedroom house for rent East Legon,5,6,"8000","Accra, Houses"
3bedroom Apartment for rent at gyenyaase,3,2,800,"Kumasi, Apartments"
5 bedroom house for rent East Legon,5,6,"11000","Accra, Houses"
Rent this 4bedroom house@Spintex community 18 estate,4,5,"4000","Accra, Houses"
Chamber & hall self contain 4 rent-East legon,1,1,450,"Accra, Apartments"
Freshly Built 2bedroom Apartment With 3washrooms For Rent Spintex 1year,2,3,"1200","Accra, Apartments"
New And Modern 2bedroom Apartment For Rent Spintex 1year,2,2,"1300","Accra, Apartments"
Hot Chamber&hall Apartment With 2washrooms For Rent Spintex 1year,1,2,700,"Accra, Apartments"
Executive 3bedroom House For Rent At Spintex 1year,3,2,"1500","Accra, Houses"
Decent Singleroom Self Contained Up For Rent Spintex,1,1,350,"Accra, Apartments"
Spicy Chamber And Hall Apartment For Rent Spintex,1,1,550,"Accra, Apartments"
3bedrom self compound for rent at spintex,3,3,"Accra, Houses"
3bedrom self compound for rent at Spintex around Baasona total,3,3,"Accra, Houses"
3bedroom self compound for rent spintex,3,2,"Accra, Houses"
3bedrom self compound for rent at spintex,3,2,"Accra, Houses"
Executive Two Bedroom Apartments for Rent At Lapaz Racecourse,2,1,"Accra, Apartments"
