DESC,BED,BATH,PRICE,LOCATION
"For rent,3bdrms hse in Spt Regimanuel",3,3,"7500","Accra, Houses"
SHOP FOR RENT AT ACHIMOTA,18*50 sqft,"7000","Accra, Commercial Property"
"For Rent,2bdrms apart@Dansoman",2,2,"1500","Accra, Apartments"
"For Rent,4 bdrms hse @stx Regimanuel",4,4,"10000","Accra, Houses"
3 Bedroom house for rent East Legon Ogbojo,3,4,"2000","Accra, Houses"
AN EXECUTIVE NEAT 2BEDROOM 2WASHROOM APARTMENT FOR RENT@SPINTEX,2,2,"Accra, Apartments"
3 BEDRM APART FOR RENT AT SPINTEX FULLY FURNISHED,3,3,"14200","Accra, Apartments"
AN OFFICE SPACE FOR RENT AT WEIJA JUNCTION,70/100 sqft,"1459","Accra, Commercial Property"
Executive 4 Bed Newly Built For Rent at North Legon,4,4,"6480","Accra, Houses"
"For rent,2bedrm fully furnished apartmnt @Dzorwulu",3,4,"10400","Accra, Apartments"
"For rent,3bedrm fully furnished apartment@Dzorwulu",3,4,"15600","Accra, Apartments"
Shop for rent at Teshie,16 sqft,300,"Accra, Commercial Property"
5 BEDRM HOUSE FOR RENT AT EAST LEGON + 1BQ,5,5,"23200","Accra, Houses"
"For rent, 2000sqm warehouse @Spintex",2000 m²,"62400","Accra, Commercial Property"
NEWLY BUILT 4 BEDROOM HOUSE FOR RENT AT LIBERIA ROAD(KAAF UNIVERSITY),4,3,"1500","Accra, Houses"
2 bedroom Apartment for rent at East Legon,2,2,"3000","Accra, Apartments"
"For rent,4bed hse in East Legon Ability",4,5,"6400","Accra, Houses"
3 BEDROOM HOUSE FOR RENT AT SPINTEX,3,2,"1600","Accra, Houses"
EXEC 2 BEDROOM APT @ AMASAMAN 4 RENT,2,2,600,"Accra, Apartments"
"For Rent,5bdrms hse in Trasacco",5,5,"25000","Accra, Houses"
3 bedroom duplex apartment for rent at Ridge,3,4,"16050","Accra, Apartments"
For Rent 3bdrms Apart@EastAirport,3,3,"8800","Accra, Apartments"
"For rent, 10 bedroom house @Spintex Greda Estate","10, 10+","10400","Accra, Houses"
"For rent, 6 bedroom house @Dzorwulu",6,7,"20800","Accra, Houses"
EXEC 2 BEDROOM APT @ TESANO 4 RENT,2,2,"3990","Accra, Apartments"
DECENT 3-BEDROOM HOUSE FOR RENT AT WEST HILLS MALL(WEIJA SCC),3,3,"Accra, Houses"
3 bedroom self compound rent ACP junction,3,3,"1800","Accra, Houses"
newly built 3 bedrooms Aparment for rent at Nmai dzorn school junction,2,2,"1600","Accra, Apartments"
3 Bedrooms house for rent In Ashongman Estates,3,3,"Accra, Houses"
SHOPS FOR RENT AT ADJIRINGANOR,100 m²,"2000","Accra, Commercial Property"
Executive 3 Bedroom House For Rent At Spintex,3,3,"2500","Accra, Houses"
3 bed S/C in Odorkor 4 rent Tipa,3,2,"Accra, Apartments"
3 BEDRM HSE 4 RENT @ LASHIBI,3,3,"3000","Accra, Houses"
2 bedroom house for rent-East Legon,2,3,"4500","Accra, Houses"
3 Bedroom House for Rent at Osu,3,3,"11700","Accra, Houses"
1 BEDRM APT. 4 RENT @ EAST AIRPORT,1,1,"6050","Accra, Apartments"
executive chamber and hall self contain for rent at teshie lekma,1,1,"Accra, Apartments"
Warehouse for rent at East Legon,2000 m²,"30000","Accra, Commercial Property"
EXEC 3 BEDROOM APT @ RED TOP 4 RENT,3,2,"1300","Accra, Apartments"
4bedroom house for rent at East Legon,4,5,"13500","Accra, Houses"
EXEC 3 BEDROOM APT @ ADENTA 4 RENT,3,3,800,"Accra, Apartments"
NICE FEATURES SINGLE ROOM S/C @ TABORA 4 RENT,1,1,600,"Accra, Apartments"
"For Rent,@Achimota,3bedrms house",3,4,"6860","Accra, Houses"
3 bedroom furnished apartment for rent at East Legon American House,3,3,"13750","Accra, Apartments"
3 bedroom house for rent. Oyarifa/,3,3,"Accra, Houses"
Executive 6 Bedroom House For Rent At Tantra Hills,6,6,"3200","Accra, Houses"
3 bedrooms fully furnished apartment for rent at East Legon,3,3,"11991","Accra, Apartments"
Executive 2 Bedroom Apartment For Rent At Ashongman,2,2,"1500","Accra, Apartments"
2 bedrooms fully furnished apartment for rent at East Legon,2,2,"8250","Accra, Apartments"
Chamber and Hall For Rent At Osu,1,1,600,"Accra, Apartments"
three bedroom house with two boys quarters for Rent Adenta,3,2,"Accra, Houses"
Executive 4 Bedroom House For Rent At Spintex,4,4,"4300","Accra, Houses"
Executive 4 Bedroom House For Rent At East Legon,4,4,"19980","Accra, Houses"
Single Room self contain for rent at Lapaz Racecourse,1,1,"Accra, Apartments"
6 BEDRM HOUSE FOR RENT AT SPINTEX TSEADDO,6,6,"8700","Accra, Houses"
FURNISHED 5 BEDROOM HOUSE @ SAKUMONO 4 RENT,5,5,"12540","Accra, Houses"
Lapaz Hongkong 4 Bedrooms House For Rent,4,3,"2500","Accra, Houses"
NICE 2 BEDROOM APT @ POKUASE 4 RENT,2,1,500,"Accra, Apartments"
3 BEDROOM EXEC HOUSE FOR RENT AT A&C MALL,3,3,"4500","Accra, Houses"
EXEC SINGLE ROOM S/C @ CHOICE 4 RENT,1,1,250,"Accra, Apartments"
Shop for rent,100 m²,"Greater Accra, Commercial Property"
Container shop for rent madina,16*32 m²,"Accra, Commercial Property"
EXEC 2 BEDROOM APT @ DANSOMAN 4 RENT,2,3,"1600","Accra, Apartments"
HOTEL 4 RENT @ SPINTEX PER NIGHT,100 m²,80,"Accra, Commercial Property"
newly 2 apartment rent haatso bohye,2,3,"Accra, Apartments"
LUXURY 4 BEDROOM HOUSE FOR RENT AT EAST LEGON,4,5,"5800","Accra, Houses"
2bedroom Apartment for rent at Spintex,2,2,"1200","Accra, Apartments"
4 Bedroom House for Rent at East Legon/Ave,4,5,"14840","Accra, Houses"
executive chamber & hall self for Rent at mail 11 junction,1,1,"Accra, Apartments"
Newly built apartments for rent at Teiman-Oyarifa,3,3,"Accra, Apartments"
*EXECUTIVE 4 Bedroom House For Rent at EAST LEGON West Trasacco,4,3,"6480","Accra, Houses"
single room for Rent 2year's at Kasoa road opposite west hill,1,1,"Accra, Apartments"
Four bed room at Kenyasi for rent,4,3,400,"Kumasi, Apartments"
Exec. 3 bedroom apartment for rent around school junction,3,3,"1500","Accra, Apartments"
CUTE SHOP FOR RENT @ MADINA TAXI RANK,160 sqft,200,"Accra, Commercial Property"
3 bedroom Self Contain rent@Roman Ridge,3,4,"11300","Accra, Apartments"
Executive 3 bedrooms self compound for rent at east legon,3,3,"3500","Accra, Houses"
Newly built two and three bedroom apartment for rent north legon flowers,2,3,"Accra, Apartments"
Newly built 2 bedroom apartment for rent Adenta,2,3,"Accra, Apartments"
3bed House for rent at east legon,3,3,"3500","Accra, Houses"
an exercutive chamber and hall self contain in amasaman for rent,1,1,"Accra, Apartments"
an exercutive 2master bedroom self contain in ofankor for rent,2,2,"Accra, Apartments"
Ex 2 bedrooms apartment for rent @ Dansoman,2,3,"1600","Accra, Apartments"
3 bedrooms for rent @ Dansoman,3,4,"1800","Accra, Apartments"
Single room self contained at Atimatim-Taabuo for rent,1,1,125,"Kumasi, Apartments"
