Name,What,Region,Country,Lat,Long,Elev
Dormaa,2,3,7.2725243,-2.8868725,1000,14169
DROBO,2,3,7.5933237,-2.8247309,1000,14169
Drobo,2,3,7.5933237,-2.824731,1000,14169
DUAYAW-NKWANTA,2,3,7.1779661,-2.1154692,1000,14169
Fiapre,2,3,7.3615779,-2.385104,1000,14169
GOASO,2,3,6.8016499,-2.5267268,1000,14169
Hwidiem,2,3,6.9348405,-2.364893,1000,14169
Japekrom,2,3,7.5933237,-2.824731,1000,14169
JEMA,2,3,7.8959567,-1.7870745,1000,14169
Jinjini,2,3,7.4483471,-2.6689699,1000,14169
KENYASI,2,3,6.9798884,-2.4077324,1000,14169
KINTAMPO,2,3,8.0597385,-1.7423202,1000,14169
Koase,2,3,7.6892595,-2.1149763,1000,14169
KUKUOM,2,3,6.6924943,-2.4470759,1000,14169
Kwadjokrom,2,3,7.7790404,-0.1773691,1000,14169
KWAME DANSO,2,3,7.7318931,-0.6875039,1000,14169
Kwasi Buokrom,2,3,6.7270282,-1.6150869,1000,14169
New Drobo,2,3,7.6413815,-2.8245237,1000,14169
NKORANZA,2,3,7.6240513,-1.7997509,1000,14169
Nkrankwanta,2,3,7.0205041,-3.0541136,1000,14169
NSAWKAW,2,3,7.8761564,-2.3239088,1000,14169
Nsoatre,2,3,7.4149305,-2.5016107,1000,14169
ODUMASE .,2,3,7.3710849,-2.3334899,1000,14169
Offuman,2,3,7.7658263,-2.0113349,1000,14169
SAMPA,2,3,7.9495653,-2.7036667,1000,14169
Seikwa,2,3,7.7227926,-2.5255252,1000,14169
Sene,2,3,7.7177627,-0.9210207,1000,14169
Suma-Ahenkro,2,3,7.915009,-2.7247382,1000,14169
Sunyani,2,3,7.3380332,-2.3487148,1000,14169
Tain,2,3,8.1811411,-2.8649014,1000,14169
TECHIMAN,2,3,7.5896856,-1.9512214,1000,14169
Techimantia,2,3,7.1835443,-2.0442726,1000,14169
Tuobodom,2,3,7.6380721,-1.9148398,1000,14169
Wamanafo,2,3,7.2647561,-2.7266264,1000,14169
WAMFIE,2,3,7.3042066,-2.7017532,1000,14169
Wamfie,2,3,7.2949799,-2.718065,1000,14169
Yamfo,2,3,7.2194157,-2.2469187,1000,14169
YEJI,2,3,8.222788,-0.6697371,1000,14169
